Date, Curreny, Rate
12/4/17,THB,32.625822
12/4/17,ZAR,13.579231
12/3/17,AUD,1.316491
12/3/17,BGN,1.645658
12/3/17,BRL,3.258436
12/3/17,CAD,1.270089
12/3/17,CHF,0.981494
12/3/17,CLP,647.799489
12/3/17,CNY,6.614951
12/3/17,CZK,21.544042
12/3/17,DKK,6.273442
12/3/17,EUR,0.843012
12/3/17,GBP,0.744201
12/3/17,HKD,7.811654
12/3/17,HUF,264.626105
12/3/17,IDR,13529.7029
12/3/17,ILS,3.488849
12/3/17,INR,64.531454
12/3/17,JPY,112.899025
12/3/17,KRW,1082.374151
12/3/17,MYR,4.089876
12/3/17,MXN,18.641133
12/3/17,NOK,8.295424
12/3/17,NZD,1.456841
12/3/17,PHP,50.247642
12/3/17,PLN,3.547731
12/3/17,RUB,58.743004
12/3/17,SAR,3.750004
12/3/17,SEK,8.379861
12/3/17,SGD,1.347613
12/3/17,THB,32.655886
12/3/17,ZAR,13.760304
12/2/17,AUD,1.312677
12/2/17,BGN,1.645557
12/2/17,BRL,3.2545
12/2/17,CAD,1.268244
12/2/17,CHF,0.975909
12/2/17,CLP,647.799983
12/2/17,CNY,6.614854
12/2/17,CZK,6.364958
12/2/17,DKK,6.254888
12/2/17,EUR,0.840563
12/2/17,GBP,0.742262
12/2/17,HKD,7.811428
12/2/17,HUF,263.920831
12/2/17,IDR,13529.07396
12/2/17,ILS,3.486729
12/2/17,INR,64.531702
12/2/17,JPY,112.157665
12/2/17,KRW,1082.534043
12/2/17,MYR,4.089999
12/2/17,MXN,18.629774
12/2/17,NOK,8.294709
12/2/17,NZD,1.451873
12/2/17,PHP,50.245336
12/2/17,PLN,3.544104
12/2/17,RUB,58.892263
12/2/17,SAR,3.750219
12/2/17,SEK,8.342284
12/2/17,SGD,1.346569
12/2/17,THB,32.605014
12/2/17,ZAR,13.715358
12/1/17,AUD,1.311383
12/1/17,BGN,1.641939
12/1/17,BRL,3.259302
12/1/17,CAD,1.270457
12/1/17,CHF,0.975562
12/1/17,CLP,648.872368
12/1/17,CNY,6.615358
12/1/17,CZK,21.480394
12/1/17,DKK,6.246527
12/1/17,EUR,0.839423
12/1/17,GBP,0.740163
12/1/17,HKD,7.812532
12/1/17,HUF,263.538772
12/1/17,IDR,13529.24198
12/1/17,ILS,3.484193
12/1/17,INR,64.527466
12/1/17,JPY,111.822283
12/1/17,KRW,1083.41603
12/1/17,MYR,4.090233
12/1/17,MXN,18.624491
12/1/17,NOK,8.277419
12/1/17,NZD,1.450851
12/1/17,PHP,50.294225
12/1/17,PLN,3.538326
12/1/17,RUB,59.021226
12/1/17,SAR,3.750714
12/1/17,SEK,8.360546
12/1/17,SGD,1.344757
12/1/17,THB,32.607179
12/1/17,ZAR,13.736533
11/30/17,AUD,1.320717
11/30/17,BGN,1.643119
11/30/17,BRL,3.285326
11/30/17,CAD,1.288524
11/30/17,CHF,0.983568
11/30/17,CLP,648.279953
11/30/17,CNY,6.613366
11/30/17,CZK,21.425138
11/30/17,DKK,6.252294
11/30/17,EUR,0.840034
11/30/17,GBP,0.740426
11/30/17,HKD,7.809837
11/30/17,HUF,262.841478
11/30/17,IDR,13542.80567
11/30/17,ILS,3.49782
11/30/17,INR,64.483282
11/30/17,JPY,112.298876
11/30/17,KRW,1085.713566
11/30/17,MYR,4.092191
11/30/17,MXN,18.635131
11/30/17,NOK,8.288929
11/30/17,NZD,1.460059
11/30/17,PHP,50.400251
11/30/17,PLN,3.529508
11/30/17,RUB,58.419091
11/30/17,SAR,3.750133
11/30/17,SEK,8.3599
11/30/17,SGD,1.348335
11/30/17,THB,32.592733
11/30/17,ZAR,13.647672
11/29/17,AUD,1.320519
11/29/17,BGN,1.649267
11/29/17,BRL,3.228296
11/29/17,CAD,1.284718
11/29/17,CHF,0.98372
11/29/17,CLP,644.397116
11/29/17,CNY,6.614495
11/29/17,CZK,21.489909
11/29/17,DKK,6.275717
11/29/17,EUR,0.843189
11/29/17,GBP,0.744315
11/29/17,HKD,7.808572
11/29/17,HUF,263.051729
11/29/17,IDR,13513.23024
11/29/17,ILS,3.503565
11/29/17,INR,64.383292
11/29/17,JPY,111.754577
11/29/17,KRW,1079.624398
11/29/17,MYR,4.090559
11/29/17,MXN,18.509527
11/29/17,NOK,8.23357
11/29/17,NZD,1.449675
11/29/17,PHP,50.32776
11/29/17,PLN,3.54285
11/29/17,RUB,58.553451
11/29/17,SAR,3.750922
11/29/17,SEK,8.352718
11/29/17,SGD,1.346613
11/29/17,THB,32.581512
11/29/17,ZAR,13.632437
11/28/17,AUD,1.312831
11/28/17,BGN,1.646117
11/28/17,BRL,3.206556
11/28/17,CAD,1.28047
11/28/17,CHF,0.982997
11/28/17,CLP,641.432498
11/28/17,CNY,6.607127
11/28/17,CZK,21.453594
11/28/17,DKK,6.265131
11/28/17,EUR,0.841768
11/28/17,GBP,0.755647
11/28/17,HKD,7.801852
11/28/17,HUF,261.90117
11/28/17,IDR,13515.19343
11/28/17,ILS,3.498498
11/28/17,INR,64.419796
11/28/17,JPY,111.125544
11/28/17,KRW,1080.854044
11/28/17,MYR,4.101658
11/28/17,MXN,18.581129
11/28/17,NOK,8.224107
11/28/17,NZD,1.442795
11/28/17,PHP,50.280233
11/28/17,PLN,3.539646
11/28/17,RUB,58.377777
11/28/17,SAR,3.75007
11/28/17,SEK,8.337551
11/28/17,SGD,1.344687
11/28/17,THB,32.55803
11/28/17,ZAR,13.599481
11/27/17,AUD,1.314919
11/27/17,BGN,1.642132
11/27/17,BRL,3.224304
11/27/17,CAD,1.274336
11/27/17,CHF,0.980436
11/27/17,CLP,638.292089
11/27/17,CNY,6.598988
11/27/17,CZK,21.339169
11/27/17,DKK,6.247837
11/27/17,EUR,0.839544
11/27/17,GBP,0.750143
11/27/17,HKD,7.801401
11/27/17,HUF,261.172169
11/27/17,IDR,13513.38428
11/27/17,ILS,3.503961
11/27/17,INR,64.491775
11/27/17,JPY,110.988479
11/27/17,KRW,1089.304722
11/27/17,MYR,4.109243
11/27/17,MXN,18.528221
11/27/17,NOK,8.147714
11/27/17,NZD,1.447378
11/27/17,PHP,50.350421
11/27/17,PLN,3.531972
11/27/17,RUB,58.363446
11/27/17,SAR,3.750642
11/27/17,SEK,8.296876
11/27/17,SGD,1.346233
11/27/17,THB,32.620697
11/27/17,ZAR,13.739973
11/26/17,AUD,1.312099
11/26/17,BGN,1.646738
11/26/17,BRL,3.233817
11/26/17,CAD,1.270523
11/26/17,CHF,0.979459
11/26/17,CLP,634.080014
11/26/17,CNY,6.586585
11/26/17,CZK,21.32048
11/26/17,DKK,6.233217
11/26/17,EUR,0.838062
11/26/17,GBP,0.749823
11/26/17,HKD,7.807511
11/26/17,HUF,262.675795
11/26/17,IDR,13505.50726
11/26/17,ILS,3.509043
11/26/17,INR,64.65188
11/26/17,JPY,111.517289
11/26/17,KRW,1084.610029
11/26/17,MYR,4.118006
11/26/17,MXN,18.627897
11/26/17,NOK,8.130251
11/26/17,NZD,1.453974
11/26/17,PHP,50.634983
11/26/17,PLN,3.528621
11/26/17,RUB,58.383854
11/26/17,SAR,3.75025
11/26/17,SEK,8.288162
11/26/17,SGD,1.34534
11/26/17,THB,32.720494
11/26/17,ZAR,14.19436
11/25/17,AUD,1.312134
11/25/17,BGN,1.645633
11/25/17,BRL,3.233599
11/25/17,CAD,1.270654
11/25/17,CHF,0.979478
11/25/17,CLP,634.081007
11/25/17,CNY,6.59958
11/25/17,CZK,21.321848
11/25/17,DKK,6.233861
11/25/17,EUR,0.838054
11/25/17,GBP,0.749791
11/25/17,HKD,7.807645
11/25/17,HUF,262.505618
11/25/17,IDR,13506.96215
11/25/17,ILS,3.508964
11/25/17,INR,64.643565
11/25/17,JPY,111.519626
11/25/17,KRW,1084.856261
11/25/17,MYR,4.117275
11/25/17,MXN,18.618096
11/25/17,NOK,8.130304
11/25/17,NZD,1.4539
11/25/17,PHP,50.63482
11/25/17,PLN,3.52874
11/25/17,RUB,58.389903
11/25/17,SAR,3.7503
11/25/17,SEK,8.287413
11/25/17,SGD,1.345287
11/25/17,THB,32.720427
11/25/17,ZAR,14.179345
11/24/17,AUD,1.312454
11/24/17,BGN,1.638834
11/24/17,BRL,3.22249
11/24/17,CAD,1.270633
11/24/17,CHF,0.978853
11/24/17,CLP,634.209211
11/24/17,CNY,6.602337
11/24/17,CZK,21.324859
11/24/17,DKK,6.235523
11/24/17,EUR,0.8378
11/24/17,GBP,0.749743
11/24/17,HKD,7.808983
11/24/17,HUF,261.394376
11/24/17,IDR,13502.30638
11/24/17,ILS,3.506938
11/24/17,INR,64.572257
11/24/17,JPY,111.54907
11/24/17,KRW,1083.427729
11/24/17,MYR,4.114018
11/24/17,MXN,18.522158
11/24/17,NOK,8.131098
11/24/17,NZD,1.452743
11/24/17,PHP,50.639893
11/24/17,PLN,3.525582
11/24/17,RUB,58.262529
11/24/17,SAR,3.750421
11/24/17,SEK,8.278352
11/24/17,SGD,1.345136
11/24/17,THB,32.652927
11/24/17,ZAR,13.865107
11/23/17,AUD,1.311048
11/23/17,BGN,1.650983
11/23/17,BRL,3.224529
11/23/17,CAD,1.271381
11/23/17,CHF,0.982
11/23/17,CLP,635.560222
11/23/17,CNY,6.581845
11/23/17,CZK,21.455198
11/23/17,DKK,6.280604
11/23/17,EUR,0.843901
11/23/17,GBP,0.751877
11/23/17,HKD,7.811337
11/23/17,HUF,263.599874
11/23/17,IDR,13480.59283
11/23/17,ILS,3.512452
11/23/17,INR,64.601439
11/23/17,JPY,111.208215
11/23/17,KRW,1083.458409
11/23/17,MYR,4.108083
11/23/17,MXN,18.617655
11/23/17,NOK,8.127554
11/23/17,NZD,1.452116
11/23/17,PHP,50.518265
11/23/17,PLN,3.549417
11/23/17,RUB,58.397024
11/23/17,SAR,3.749791
11/23/17,SEK,8.29553
11/23/17,SGD,1.345596
11/23/17,THB,32.65909
11/23/17,ZAR,13.88261
11/22/17,AUD,1.317708
11/22/17,BGN,1.65975
11/22/17,BRL,3.235002
11/22/17,CAD,1.273208
11/22/17,CHF,0.983985
11/22/17,CLP,634.082618
11/22/17,CNY,6.610173
11/22/17,CZK,21.627067
11/22/17,DKK,6.314574
11/22/17,EUR,0.84849
11/22/17,GBP,0.752504
11/22/17,HKD,7.811758
11/22/17,HUF,265.453686
11/22/17,IDR,13498.5432
11/22/17,ILS,3.5121
11/22/17,INR,64.855512
11/22/17,JPY,111.656871
11/22/17,KRW,1086.803073
11/22/17,MYR,4.109665
11/22/17,MXN,18.71288
11/22/17,NOK,8.190744
11/22/17,NZD,1.458062
11/22/17,PHP,50.549596
11/22/17,PLN,3.56869
11/22/17,RUB,58.612495
11/22/17,SAR,3.750431
11/22/17,SEK,8.380093
11/22/17,SGD,1.349352
11/22/17,THB,32.710675
11/22/17,ZAR,13.883408
11/21/17,AUD,1.319034
11/21/17,BGN,1.665783
11/21/17,BRL,3.24548
11/21/17,CAD,1.277005
11/21/17,CHF,0.991663
11/21/17,CLP,635.157001
11/21/17,CNY,6.628785
11/21/17,CZK,21.730925
11/21/17,DKK,6.338713
11/21/17,EUR,0.851763
11/21/17,GBP,0.755718
11/21/17,HKD,7.811295
11/21/17,HUF,266.832732
11/21/17,IDR,13511.29504
11/21/17,ILS,3.517721
11/21/17,INR,64.844833
11/21/17,JPY,112.47657
11/21/17,KRW,1088.952113
11/21/17,MYR,4.132317
11/21/17,MXN,18.805321
11/21/17,NOK,8.211456
11/21/17,NZD,1.46319
11/21/17,PHP,50.547849
11/21/17,PLN,3.591848
11/21/17,RUB,59.146409
11/21/17,SAR,3.750621
11/21/17,SEK,8.42797
11/21/17,SGD,1.353985
11/21/17,THB,32.751325
11/21/17,ZAR,13.967217
11/20/17,AUD,1.324497
11/20/17,BGN,1.665734
11/20/17,BRL,3.257675
11/20/17,CAD,1.279518
11/20/17,CHF,0.992388
11/20/17,CLP,637.817048
11/20/17,CNY,6.635605
11/20/17,CZK,21.760559
11/20/17,DKK,6.338344
11/20/17,EUR,0.851771
11/20/17,GBP,0.75518
11/20/17,HKD,7.811806
11/20/17,HUF,266.046843
11/20/17,IDR,13526.59804
11/20/17,ILS,3.516792
11/20/17,INR,65.051694
11/20/17,JPY,112.505074
11/20/17,KRW,1096.893369
11/20/17,MYR,4.140762
11/20/17,MXN,19.037455
11/20/17,NOK,8.281444
11/20/17,NZD,1.468216
11/20/17,PHP,50.738274
11/20/17,PLN,3.605534
11/20/17,RUB,59.407408
11/20/17,SAR,3.749997
11/20/17,SEK,8.479078
11/20/17,SGD,1.357324
11/20/17,THB,32.825836
11/20/17,ZAR,14.050271
11/19/17,AUD,1.320705
11/19/17,BGN,1.658183
11/19/17,BRL,3.258106
11/19/17,CAD,1.276361
11/19/17,CHF,0.98869
11/19/17,CLP,626.594989
11/19/17,CNY,6.625709
11/19/17,CZK,21.68958
11/19/17,DKK,6.311531
11/19/17,EUR,0.84803
11/19/17,GBP,0.756824
11/19/17,HKD,7.810034
11/19/17,HUF,264.314416
11/19/17,IDR,13530.88764
11/19/17,ILS,3.514748
11/19/17,INR,65.031129
11/19/17,JPY,112.049384
11/19/17,KRW,1093.35302
11/19/17,MYR,4.162578
11/19/17,MXN,18.924749
11/19/17,NOK,8.239817
11/19/17,NZD,1.467177
11/19/17,PHP,50.821123
11/19/17,PLN,3.59085
11/19/17,RUB,59.095534
11/19/17,SAR,3.750148
11/19/17,SEK,8.439035
11/19/17,SGD,1.355877
11/19/17,THB,32.835148
11/19/17,ZAR,13.967814
11/18/17,AUD,1.320812
11/18/17,BGN,1.658405
11/18/17,BRL,3.257964
11/18/17,CAD,1.276637
11/18/17,CHF,0.988786
11/18/17,CLP,626.594978
11/18/17,CNY,6.625902
11/18/17,CZK,21.688434
11/18/17,DKK,6.31167
11/18/17,EUR,0.84803
11/18/17,GBP,0.756723
11/18/17,HKD,7.810553
11/18/17,HUF,264.388394
11/18/17,IDR,13529.34829
11/18/17,ILS,3.514711
11/18/17,INR,65.005432
11/18/17,JPY,112.051559
11/18/17,KRW,1093.495378
11/18/17,MYR,4.16258
11/18/17,MXN,18.924227
11/18/17,NOK,8.239737
11/18/17,NZD,1.467437
11/18/17,PHP,50.821097
11/18/17,PLN,3.590946
11/18/17,RUB,59.099284
11/18/17,SAR,3.750086
11/18/17,SEK,8.434197
11/18/17,SGD,1.356081
11/18/17,THB,32.83524
11/18/17,ZAR,13.975372
11/17/17,AUD,1.32244
11/17/17,BGN,1.658228
11/17/17,BRL,3.264634
11/17/17,CAD,1.278307
11/17/17,CHF,0.988424
11/17/17,CLP,626.597474
11/17/17,CNY,6.626581
11/17/17,CZK,21.699241
11/17/17,DKK,6.308154
11/17/17,EUR,0.847712
11/17/17,GBP,0.756467
11/17/17,HKD,7.811742
11/17/17,HUF,264.345575
11/17/17,IDR,13516.96657
11/17/17,ILS,3.51472
11/17/17,INR,64.941108
11/17/17,JPY,111.987511
11/17/17,KRW,1093.896658
11/17/17,MYR,4.156631
11/17/17,MXN,18.939386
11/17/17,NOK,8.244337
11/17/17,NZD,1.468304
11/17/17,PHP,50.836078
11/17/17,PLN,3.592625
11/17/17,RUB,59.175881
11/17/17,SAR,3.75017
11/17/17,SEK,8.43844
11/17/17,SGD,1.354009
11/17/17,THB,32.820161
11/17/17,ZAR,13.973028
11/16/17,AUD,1.317357
11/16/17,BGN,1.661586
11/16/17,BRL,3.277369
11/16/17,CAD,1.273832
11/16/17,CHF,0.992347
11/16/17,CLP,630.601582
11/16/17,CNY,6.63086
11/16/17,CZK,21.714987
11/16/17,DKK,6.32144
11/16/17,EUR,0.84942
11/16/17,GBP,0.757584
11/16/17,HKD,7.809712
11/16/17,HUF,265.035401
11/16/17,IDR,13528.31606
11/16/17,ILS,3.521013
11/16/17,INR,65.242137
11/16/17,JPY,112.876639
11/16/17,KRW,1095.475234
11/16/17,MYR,4.168052
11/16/17,MXN,19.102038
11/16/17,NOK,8.210164
11/16/17,NZD,1.457316
11/16/17,PHP,50.740888
11/16/17,PLN,3.599745
11/16/17,RUB,59.628166
11/16/17,SAR,3.750439
11/16/17,SEK,8.404559
11/16/17,SGD,1.355802
11/16/17,THB,32.914493
11/16/17,ZAR,14.187813
11/15/17,AUD,1.320243
11/15/17,BGN,1.658726
11/15/17,BRL,3.313319
11/15/17,CAD,1.278397
11/15/17,CHF,0.990698
11/15/17,CLP,633.324068
11/15/17,CNY,6.623372
11/15/17,CZK,21.733292
11/15/17,DKK,6.311156
11/15/17,EUR,0.848037
11/15/17,GBP,0.75973
11/15/17,HKD,7.806897
11/15/17,HUF,264.91261
11/15/17,IDR,13544.50911
11/15/17,ILS,3.530923
11/15/17,INR,65.331036
11/15/17,JPY,113.165398
11/15/17,KRW,1104.901182
11/15/17,MYR,4.180119
11/15/17,MXN,19.259101
11/15/17,NOK,8.256015
11/15/17,NZD,1.45546
11/15/17,PHP,50.844627
11/15/17,PLN,3.601582
11/15/17,RUB,60.116507
11/15/17,SAR,3.750289
11/15/17,SEK,8.442709
11/15/17,SGD,1.357735
11/15/17,THB,33.021089
11/15/17,ZAR,14.40015
11/14/17,AUD,1.31091
11/14/17,BGN,1.662306
11/14/17,BRL,3.302114
11/14/17,CAD,1.273168
11/14/17,CHF,0.991381
11/14/17,CLP,632.098208
11/14/17,CNY,6.636234
11/14/17,CZK,21.789229
11/14/17,DKK,6.324846
11/14/17,EUR,0.850039
11/14/17,GBP,0.761675
11/14/17,HKD,7.803654
11/14/17,HUF,264.986905
11/14/17,IDR,13542.45384
11/14/17,ILS,3.536883
11/14/17,INR,65.413601
11/14/17,JPY,113.489402
11/14/17,KRW,1114.652957
11/14/17,MYR,4.193712
11/14/17,MXN,19.141709
11/14/17,NOK,8.204299
11/14/17,NZD,1.452663
11/14/17,PHP,51.135232
11/14/17,PLN,3.611213
11/14/17,RUB,60.120134
11/14/17,SAR,3.750291
11/14/17,SEK,8.419336
11/14/17,SGD,1.359803
11/14/17,THB,33.058367
11/14/17,ZAR,14.390699
11/13/17,AUD,1.312074
11/13/17,BGN,1.677855
11/13/17,BRL,3.293841
11/13/17,CAD,1.273503
11/13/17,CHF,0.997389
11/13/17,CLP,630.105705
11/13/17,CNY,6.640491
11/13/17,CZK,21.926491
11/13/17,DKK,6.383287
11/13/17,EUR,0.85792
11/13/17,GBP,0.763181
11/13/17,HKD,7.80118
11/13/17,HUF,267.614087
11/13/17,IDR,13568.59243
11/13/17,ILS,3.546195
11/13/17,INR,65.461522
11/13/17,JPY,113.614693
11/13/17,KRW,1119.244292
11/13/17,MYR,4.189277
11/13/17,MXN,19.173232
11/13/17,NOK,8.178601
11/13/17,NZD,1.449909
11/13/17,PHP,51.193048
11/13/17,PLN,3.635568
11/13/17,RUB,59.432109
11/13/17,SAR,3.750719
11/13/17,SEK,8.394937
11/13/17,SGD,1.36234
11/13/17,THB,33.080415
11/13/17,ZAR,14.496594
11/12/17,AUD,1.303942
11/12/17,BGN,1.678246
11/12/17,BRL,3.27861
11/12/17,CAD,1.267705
11/12/17,CHF,0.995701
11/12/17,CLP,631.5
11/12/17,CNY,6.640277
11/12/17,CZK,21.893643
11/12/17,DKK,6.37742
11/12/17,EUR,0.857212
11/12/17,GBP,0.758134
11/12/17,HKD,7.800473
11/12/17,HUF,268.8389
11/12/17,IDR,13535.04478
11/12/17,ILS,3.550088
11/12/17,INR,65.172629
11/12/17,JPY,113.540615
11/12/17,KRW,1119.869351
11/12/17,MYR,4.192507
11/12/17,MXN,19.186961
11/12/17,NOK,8.130319
11/12/17,NZD,1.442831
11/12/17,PHP,51.265215
11/12/17,PLN,3.624023
11/12/17,RUB,59.234938
11/12/17,SAR,3.770898
11/12/17,SEK,8.364568
11/12/17,SGD,1.360597
11/12/17,THB,33.156244
11/12/17,ZAR,14.397406
11/11/17,AUD,1.304068
11/11/17,BGN,1.67795
11/11/17,BRL,3.278379
11/11/17,CAD,1.267665
11/11/17,CHF,0.995696
11/11/17,CLP,631.500396
11/11/17,CNY,6.640622
11/11/17,CZK,21.895014
11/11/17,DKK,6.377523
11/11/17,EUR,0.857238
11/11/17,GBP,0.758115
11/11/17,HKD,7.800578
11/11/17,HUF,268.649699
11/11/17,IDR,13533.58588
11/11/17,ILS,3.550053
11/11/17,INR,65.192886
11/11/17,JPY,113.53803
11/11/17,KRW,1120.062969
11/11/17,MYR,4.192521
11/11/17,MXN,19.180882
11/11/17,NOK,8.130838
11/11/17,NZD,1.44248
11/11/17,PHP,51.268308
11/11/17,PLN,3.623725
11/11/17,RUB,59.240981
11/11/17,SAR,3.766559
11/11/17,SEK,8.364522
11/11/17,SGD,1.360565
11/11/17,THB,33.1599
11/11/17,ZAR,14.396798
11/10/17,AUD,1.305994
11/10/17,BGN,1.679025
11/10/17,BRL,3.271952
11/10/17,CAD,1.268747
11/10/17,CHF,0.996279
11/10/17,CLP,631.510832
11/10/17,CNY,6.640003
11/10/17,CZK,21.924226
11/10/17,DKK,6.382952
11/10/17,EUR,0.857872
11/10/17,GBP,0.75701
11/10/17,HKD,7.80281
11/10/17,HUF,267.453445
11/10/17,IDR,13537.98553
11/10/17,ILS,3.545639
11/10/17,INR,65.194781
11/10/17,JPY,113.483911
11/10/17,KRW,1119.85382
11/10/17,MYR,4.192507
11/10/17,MXN,19.063179
11/10/17,NOK,8.126338
11/10/17,NZD,1.442815
11/10/17,PHP,51.262868
11/10/17,PLN,3.625543
11/10/17,RUB,59.166002
11/10/17,SAR,3.751568
11/10/17,SEK,8.361416
11/10/17,SGD,1.360485
11/10/17,THB,33.132931
11/10/17,ZAR,14.364219
